rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
beauty_shop → kiosk,beauty_shop,kiosk,0.371,0.049,2.56,0.83,0.49,0.0106,1258,1156,615
toy_shop → kiosk,toy_shop,kiosk,0.358,0.051,2.46,0.835,0.51,0.0106,218,1156,111
fast_food → kiosk,fast_food,kiosk,0.34,0.052,2.34,0.824,0.52,0.0105,2688,1156,1409
mall → kiosk,mall,kiosk,0.349,0.049,2.4,0.768,0.49,0.0105,43,1156,21
stationery → kiosk,stationery,kiosk,0.365,0.049,2.52,0.818,0.49,0.0105,249,1156,121
toy_shop → florist,toy_shop,florist,0.367,0.049,3.06,0.835,0.49,0.0104,218,953,106
bar → beauty_shop,bar,beauty_shop,0.303,0.06,1.91,0.857,0.6,0.0104,2240,1258,1344
video_shop → shoe_shop,video_shop,shoe_shop,0.375,0.05,4.2,0.892,0.5,0.0104,8,710,4
bookshop → pub,bookshop,pub,0.305,0.059,3.35,0.858,0.59,0.0103,436,725,257
chemist → beauty_shop,chemist,beauty_shop,0.312,0.057,1.97,0.854,0.57,0.0102,359,1258,205
mall → mobile_phone_shop,mall,mobile_phone_shop,0.302,0.058,6.59,0.841,0.58,0.0102,43,365,25
market_place → florist,market_place,florist,0.357,0.05,2.98,0.861,0.5,0.0102,140,953,70
computer_shop → beauty_shop,computer_shop,beauty_shop,0.308,0.057,1.95,0.84,0.57,0.0102,214,1258,122
bus_station → pharmacy,bus_station,pharmacy,0.364,0.047,1.82,0.829,0.47,0.0101,55,1593,26
hairdresser → optician,hairdresser,optician,0.307,0.056,3.15,0.847,0.56,0.0099,4634,776,2590
pub → beauty_shop,pub,beauty_shop,0.31,0.055,1.96,0.846,0.55,0.0099,725,1258,399
shoe_shop → gift_shop,shoe_shop,gift_shop,0.307,0.055,4.93,0.851,0.55,0.0098,710,496,394
newsagent → railway_station,newsagent,railway_station,0.372,0.041,2.42,0.751,0.41,0.0095,239,1226,98
fast_food → optician,fast_food,optician,0.301,0.055,3.08,0.854,0.55,0.0095,2688,776,1475
florist → optician,florist,optician,0.306,0.054,3.14,0.841,0.54,0.0095,953,776,512
tram_stop → pharmacy,tram_stop,pharmacy,0.34,0.048,1.7,0.831,0.48,0.0095,1241,1593,592
gift_shop → bookshop,gift_shop,bookshop,0.302,0.055,5.52,0.853,0.55,0.0095,496,436,271
food_court → bookshop,food_court,bookshop,0.36,0.044,6.57,0.809,0.44,0.0094,75,436,33
dentist → optician,dentist,optician,0.302,0.054,3.1,0.856,0.54,0.0093,645,776,347
newsagent → florist,newsagent,florist,0.351,0.044,2.93,0.813,0.44,0.0091,239,953,104
beauty_shop → florist,beauty_shop,florist,0.345,0.045,2.88,0.841,0.45,0.0091,1258,953,572
jeweller → stationery,jeweller,stationery,0.344,0.045,11.01,0.845,0.45,0.009,842,249,383
pharmacy → kiosk,pharmacy,kiosk,0.335,0.045,2.3,0.81,0.45,0.0089,1593,1156,715
