rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
optician → hairdresser,optician,hairdresser,0.853,0.334,1.46,0.445,3.34,0.2213,776,4634,2590
ice_rink → tree,ice_rink,tree,0.405,0.895,0.41,0.78,8.95,0.2213,37,899340,331
cafe → bench,cafe,bench,0.645,0.507,0.65,0.655,5.07,0.2201,3316,88411,16828
fast_food → restaurant,fast_food,restaurant,0.754,0.392,0.75,0.515,3.92,0.2196,2688,14682,10546
mobile_phone_shop → hairdresser,mobile_phone_shop,hairdresser,0.89,0.315,1.53,0.438,3.15,0.2187,365,4634,1148
bar → bench,bar,bench,0.638,0.504,0.64,0.688,5.04,0.211,2240,88411,11291
newsagent → bus_stop,newsagent,bus_stop,0.862,0.321,0.86,0.477,3.21,0.2107,239,36434,767
dentist → bench,dentist,bench,0.653,0.488,0.65,0.681,4.88,0.2102,645,88411,3149
attraction → tree,attraction,tree,0.37,0.914,0.37,0.758,9.14,0.2097,1231,899340,11246
food_court → restaurant,food_court,restaurant,0.8,0.332,0.8,0.435,3.32,0.2078,75,14682,249
doctors → bench,doctors,bench,0.614,0.515,0.61,0.687,5.15,0.2078,1979,88411,10198
clothes → hairdresser,clothes,hairdresser,0.81,0.336,1.39,0.482,3.36,0.2068,3601,4634,12116
hospital → tree,hospital,tree,0.333,1.0,0.33,0.774,11.08,0.2044,24,899340,266
pharmacy → restaurant,pharmacy,restaurant,0.803,0.333,0.8,0.495,3.33,0.201,1593,14682,5299
laundry → bench,laundry,bench,0.657,0.463,0.66,0.68,4.63,0.2004,428,88411,1980
toy_shop → clothes,toy_shop,clothes,0.596,0.472,1.32,0.593,4.72,0.1978,218,3601,1028
jeweller → cafe,jeweller,cafe,0.835,0.31,2.0,0.484,3.1,0.1962,842,3316,2610
beauty_shop → hairdresser,beauty_shop,hairdresser,0.809,0.311,1.39,0.446,3.11,0.1954,1258,4634,3910
food_court → clothes,food_court,clothes,0.64,0.429,1.41,0.588,4.29,0.194,75,3601,322
pub → bench,pub,bench,0.596,0.5,0.6,0.707,5.0,0.1928,725,88411,3628
taxi → restaurant,taxi,restaurant,0.767,0.342,0.77,0.57,3.42,0.1877,202,14682,691
department_store → clothes,department_store,clothes,0.511,0.544,1.13,0.653,5.44,0.1873,176,3601,957
pharmacy → bench,pharmacy,bench,0.615,0.456,0.61,0.678,4.56,0.1852,1593,88411,7264
cinema → bench,cinema,bench,0.624,0.455,0.62,0.705,4.55,0.1837,234,88411,1064
gift_shop → clothes,gift_shop,clothes,0.536,0.496,1.19,0.626,4.96,0.1829,496,3601,2462
bookshop → hairdresser,bookshop,hairdresser,0.784,0.314,1.35,0.517,3.14,0.1826,436,4634,1369
shoe_shop → hairdresser,shoe_shop,hairdresser,0.782,0.31,1.34,0.501,3.1,0.1815,710,4634,2199
laundry → restaurant,laundry,restaurant,0.822,0.291,0.82,0.489,2.91,0.1808,428,14682,1245
clinic → bench,clinic,bench,0.614,0.443,0.61,0.701,4.43,0.1766,246,88411,1090
beach → tree,beach,tree,0.375,0.759,0.38,0.763,7.59,0.1761,56,899340,425
